step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
315,1,0.004211078397929668,,,,2.37e-06,1.0
316,1,0.004055388271808624,,,,2.3775e-06,1.0
317,1,0.004096254240721464,,,,2.385e-06,1.0
318,1,0.004073132760822773,,,,2.3925e-06,1.0
319,1,0.004073318559676409,,,,2.4000000000000003e-06,1.0
320,1,0.004134881775826216,,,,2.4075e-06,1.0
321,1,0.004072192125022411,,,,2.415e-06,1.0
322,1,0.004113052040338516,,,,2.4225e-06,1.0
323,1,0.004042584914714098,,,,2.43e-06,1.0
324,1,0.004254740662872791,,,,2.4375e-06,1.0
325,1,0.004048638045787811,,,,2.4450000000000003e-06,1.0
326,1,0.004124239087104797,,,,2.4525000000000002e-06,1.0
327,1,0.004120439291000366,,,,2.4599999999999997e-06,1.0
328,1,0.00400966964662075,,,,2.4675e-06,1.0
329,1,0.003959853667765856,,,,2.475e-06,1.0
330,1,0.003944186493754387,,,,2.4825e-06,1.0
331,1,0.003923463635146618,,,,2.49e-06,1.0
332,1,0.003920438699424267,,,,2.4975000000000002e-06,1.0
333,1,0.0041632093489170074,,,,2.5049999999999997e-06,1.0
334,1,0.0038796490989625454,,,,2.5125e-06,1.0
335,1,0.003883021418005228,,,,2.52e-06,1.0
336,1,0.0038389177061617374,,,,2.5275000000000004e-06,1.0
337,1,0.0038689039647579193,,,,2.535e-06,1.0
338,1,0.0038729598745703697,,,,2.5425000000000002e-06,1.0
339,1,0.003812110982835293,,,,2.55e-06,1.0
340,1,0.0038982464466243982,,,,2.5575e-06,1.0
341,1,0.003819117322564125,,,,2.565e-06,1.0
342,1,0.0037825757171958685,,,,2.5725e-06,1.0
343,1,0.0037736124359071255,,,,2.5800000000000003e-06,1.0
344,1,0.0038243820890784264,,,,2.5875e-06,1.0
345,1,0.0038620280101895332,,,,2.595e-06,1.0
346,1,0.0037936579901725054,,,,2.6025e-06,1.0
347,1,0.0037026959471404552,,,,2.61e-06,1.0
348,1,0.003694013459607959,,,,2.6175e-06,1.0
349,1,0.0037908072117716074,,,,2.6250000000000003e-06,1.0
350,1,0.0037209372967481613,,,,2.6324999999999998e-06,1.0
351,1,0.003741821274161339,,,,2.64e-06,1.0
352,1,0.0036689210683107376,,,,2.6475e-06,1.0
353,1,0.003676078747957945,,,,2.6550000000000004e-06,1.0
354,1,0.00364883616566658,,,,2.6625e-06,1.0
355,1,0.0036697350442409515,,,,2.6700000000000003e-06,1.0
356,1,0.003667547833174467,,,,2.6775e-06,1.0
357,1,0.0035781138576567173,,,,2.6849999999999997e-06,1.0
358,1,0.0037957201711833477,,,,2.6925e-06,1.0
359,1,0.0036192680709064007,,,,2.7e-06,1.0
